"ElevationCount","Product","Description","Publisher","FileName","FileInternalName","FileVersion","FilePath","FileHash","Users","Devices","ElevationType","ChildProcessBehaviour","Group"
"115","Microsoft® Windows® Operating System","Dism Host Servicing Process","Microsoft Corporation","dismhost.exe","dismhost","10.0.19041.3636","C:\\Users\\NICKBE~1\\AppData\\Local\\Temp\\48B988AD-FD9E-4E40-8CC2-75D2FE3B75EB","E36BCF02BC11F560761E943D0FAD37417078F6CBB473F85C72FCBC89E2600C58","AzureAD\NickBenton","ODDS-02601911 ODDS-37453243","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"5","Microsoft® Windows® Operating System","Console Window Host","Microsoft Corporation","Conhost.exe","ConHost","10.0.19041.4355","C:\\Windows\\System32","CC0A60CD15FA21E54615E46CD0F10CFBE86F496DC64D14B31D9F3B415D120EE1","AzureAD\NickBenton","ODDS-02601911 ODDS-37453243","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"2","Microsoft® Windows® Operating System","Microsoft Management Console","Microsoft Corporation","mmc.exe","mmc.exe","10.0.19041.5007","C:\\Windows\\system32","8FC82C08A65589B8207D4C10F0D019C7CD6870E4EC00335CD1F4BBA43069F011","AzureAD\NickBenton","ODDS-02601911","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"2","Microsoft® Windows® Operating System","Windows PowerShell","Microsoft Corporation","powershell.exe","POWERSHELL","10.0.19041.3996","C:\\Windows\\System32\\WindowsPowerShell\\v1.0","9785001B0DCF755EDDB8AF294A373C0B87B2498660F724E76C4D53F9C217C7A3","AzureAD\NickBenton","ODDS-37453243","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"1","Microsoft® Windows® Operating System","Console Window Host","Microsoft Corporation","Conhost.exe","ConHost","10.0.22621.3527","C:\\Windows\\System32","11D6C047E8B9D4C7C017E63B6F094797EB0FBE9005D8683CC9BDA1354A056762","AzureAD\NickBenton","ODDS-78579564","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"1","Microsoft® Windows® Operating System","Dism Host Servicing Process","Microsoft Corporation","dismhost.exe","dismhost","10.0.22621.1","C:\\Windows\\System32\\Dism","7E48FDDCA1227FC511CEFA2EE473DC9C7887270C1BB0ECDDC4A56F01B6C490E4","AzureAD\NickBenton","ODDS-78579564","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
